-582,54,195
-583,53,196
-582,52,194
-587,38,192
-595,-197,101
-599,-212,-14
-460,-196,-325
-349,-135,-424
-96,-149,-524
-76,-135,-526
-65,-72,-526
-59,-82,-529
-30,-71,-532
-18,-74,-533
-14,-73,-533
-14,-39,-528
-2,-16,-527
59,27,-519
108,32,-514
197,-38,-510
212,-77,-509
206,-185,-515
186,-226,-513
132,-324,-502
82,-364,-496
-32,-396,-481
51,-422,-474
147,-398,-476
165,-374,-482
295,-160,-484
287,-95,-487
233,31,-488
202,70,-487
58,128,-491
-27,107,-496
-86,127,-479
-138,81,-484
-162,-6,-496
-171,-48,-499
-190,-73,-494
-219,-119,-483
-223,-147,-482
-214,-210,-480
-183,-273,-479
-97,-357,-480
-23,-377,-484
84,-369,-490
152,-332,-494
201,-253,-504
203,-236,-507
209,-135,-513
191,-32,-512
169,26,-506
163,17,-509
167,-56,-520
165,-135,-525
156,-203,-522
113,-266,-519
37,-310,-511
-3,-314,-508
-112,-300,-494
-292,-82,-447
-287,-61,-450
-261,-65,-462
-237,-68,-475
-194,-16,-487
-190,5,-484
-192,15,-483
-200,-9,-484
-185,45,-478
-142,114,-472
-2,168,-473
94,121,-491
177,-5,-509
189,-55,-515
204,-116,-514
221,-113,-510
243,-134,-502
250,-180,-498
217,-303,-489
204,-312,-488
150,-361,-483
123,-375,-484
76,-402,-477
26,-424,-469
49,-417,-471
220,-295,-490
254,-209,-496
255,-80,-498
232,-21,-499
232,46,-484
221,94,-473
136,99,-491
121,110,-489
32,135,-487
-40,124,-486
-108,101,-484
-122,76,-486
-155,-68,-503
-157,-100,-505
-167,-125,-502
-178,-144,-498
-171,-192,-497
-170,-217,-495
-132,-248,-502
-109,-270,-504
-106,-277,-501
-98,-286,-501
-67,-311,-501
6,-347,-498
45,-347,-499
194,-236,-508
182,-242,-510
187,-223,-512
183,-200,-516
176,-185,-519
176,-143,-522
151,-174,-523
134,-210,-523
114,-249,-520
104,-264,-520
59,-296,-514
52,-297,-514
-34,-297,-510
-47,-285,-511
-85,-271,-508
-105,-269,-503
-151,-232,-497
-200,-214,-483
-218,-134,-482
-215,-15,-478
-213,-19,-479
-184,-61,-495
-173,-61,-500
-168,-9,-494
-150,25,-494
-49,99,-496
14,95,-502
116,3,-518
142,-39,-522
153,-81,-524
171,-92,-521
206,-116,-514
229,-143,-507
220,-185,-508
195,-233,-511
141,-354,-492
124,-372,-489
143,-376,-486
176,-335,-492
208,-112,-516
194,-69,-516
194,-100,-517
191,-116,-518
177,-127,-522
203,-108,-516
212,-114,-512
225,-135,-509
232,-145,-506
236,-88,-505
230,-79,-505
247,-97,-500
252,-114,-499
204,-242,-504
146,-298,-504
53,-347,-500
15,-356,-497
-65,-365,-486
-98,-341,-486
-113,-307,-493
-78,-311,-499
3,-356,-496
64,-370,-492
139,-365,-488
188,-295,-499
192,-283,-501
185,-259,-507
179,-265,-506
191,-253,-506
207,-238,-504
214,-130,-510
199,-71,-511
156,3,-510
127,33,-508
58,81,-501
-11,87,-499
-102,77,-489
-132,64,-485
-206,-17,-478
-238,-70,-470
-280,-152,-452
-281,-175,-450
-267,-201,-453
-267,-206,-453
-269,-208,-451
-267,-202,-454
-267,-199,-455
-263,-204,-455
