temp_h,temp_p,timestamp
21.57855796813965,20.456249237060547,2015-09-10 10:57:39.576485
21.414031982421875,20.450000762939453,2015-09-10 10:57:49.572600
21.468873977661133,20.418750762939453,2015-09-10 10:57:59.581392
21.57855796813965,20.399999618530273,2015-09-10 10:58:09.584191
21.487154006958008,20.35416603088379,2015-09-10 10:58:19.589829
21.487154006958008,20.325000762939453,2015-09-10 10:58:29.591544
21.30434799194336,20.28125,2015-09-10 10:58:39.591230
21.359189987182617,20.235416412353516,2015-09-10 10:58:49.588795
21.231225967407227,20.202083587646484,2015-09-10 10:58:59.600058
21.12154197692871,20.15833282470703,2015-09-10 10:59:09.598750
